account,password,role,firstName,lastName,phone
1,1,admin,team1,work1,617-982-0000
sm1,2,storemanager,team2,work2,617-982-0001
ct1,3,customer,team3,work3,617-982-0002
p1,4,pilot,team4,work4,617-982-0003
sm2,6,storemanager,team6,work6,617-982-0005
ct2,7,customer,team7,work7,617-982-0006
p2,8,pilot,team8,work8,617-982-0007
sm3,9,storemanager,team9,work9,617-982-0008
ct3,10,customer,team10,work10,617-982-0009
p3,11,pilot,team11,work11,617-982-0010
sm4,12,storemanager,team12,work12,617-982-0011
ct4,13,customer,team13,work13,617-982-0012
p4,14,pilot,team14,work14,617-982-0013
sm5,15,storemanager,team15,work15,617-982-0014
ct5,16,customer,team16,work16,617-982-0015
p5,17,pilot,team17,work17,617-982-0016
sm6,18,storemanager,team18,work18,617-982-0017
ct6,19,customer,team19,work19,617-982-0018
p6,20,pilot,team20,work20,617-982-0019
sm7,21,storemanager,team21,work21,617-982-0020
ct7,22,customer,team22,work22,617-982-0021
p7,23,pilot,team23,work23,617-982-0022
sm8,24,storemanager,team24,work24,617-982-0023
ct8,25,customer,team25,work25,617-982-0024
p8,26,pilot,team26,work26,617-982-0025
sm9,27,storemanager,team27,work27,617-982-0026
ct9,28,customer,team28,work28,617-982-0027
p9,29,pilot,team29,work29,617-982-0028
sm10,30,storemanager,team30,work30,617-982-0029
